ID,PIN,Address,Managing Organization,Property Status,Date of Acquisition,Sq. Ft.,Ward,Community Area Number,Community Area Name,Zoning Classification,Last Update,Latitude,Longitude,Location
68374,20-14-223-037-0000,5709 S HARPER AVE,DPD - Open Space,Owned by City,5/16/01,0,5,41,HYDE PARK,B1-3,3/14/24,41.7911192,-87.5887089,"(41.791119230167794, -87.58870893193807)"
35655,20-25-102-002-0000,1705 E 71ST ST,None,Owned by City,2/9/03,0,7,43,SOUTH SHORE,B3-2,5/8/24,41.7658115,-87.5832747,"(41.76581146444479, -87.58327472998047)"
34277,25-03-214-006-0000,617 E 88TH PL,None,Owned by City,12/4/03,0,8,44,CHATHAM,RS-2,5/8/24,41.7335861,-87.6089065,"(41.73358608975087, -87.60890647363168)"
65754,13-09-332-001-0000,4837 N LIPPS AVE,DPD - Real Estate,Sold,6/30/05,0,45,11,JEFFERSON PARK,C1-3,3/14/24,41.9689582,-87.7598143,"(41.96895818325345, -87.75981433981805)"
62080,16-25-109-045-0000,2358 S WHIPPLE ST,DPD - Planning,Owned by City,12/20/05,0,25,30,SOUTH LAWNDALE,RT-4,5/6/24,41.8483387,-87.701825,"(41.84833874108321, -87.70182503425904)"
62064,20-22-308-032-0000,6858 S INDIANA AVE,DPD - Real Estate,Owned by City,1/3/06,0,6,69,GREATER GRAND CROSSING,B3-1,3/25/24,41.7693954,-87.6206542,"(41.76939543001285, -87.62065415893512)"
62350,20-17-427-002-0000,6203 S CARPENTER ST,DPD - Planning,Owned by City,12/11/07,0,16,68,ENGLEWOOD,RS-3,5/8/24,41.7812734,-87.6505521,"(41.781273376570944, -87.65055210001694)"
36132,20-17-430-015-0000,6200 S GREEN ST,AIS,Owned by City,12/11/07,,16,68,ENGLEWOOD,C1-3,3/14/24,41.7814041,-87.6463491,"(41.78140412462826, -87.64634908516175)"
68183,25-05-122-032-0000,8901 S THROOP ST,CDOT,Owned by City,7/26/09,,21,73,WASHINGTON HEIGHTS,RS-2,3/14/24,41.732136,-87.6553178,"(41.73213597742987, -87.65531784992595)"
50928,20-16-320-012-0000,450 W 62ND ST,AIS,Owned by City,4/13/10,0,20,68,ENGLEWOOD,RS-3,3/14/24,41.7819931,-87.6372462,"(41.781993117935045, -87.63724618003499)"
24534,25-16-426-041-0000,11008 S STATE ST,None,Owned by City,8/16/11,0,9,49,ROSELAND,RS-3,5/8/24,41.6940637,-87.6234903,"(41.694063729702314, -87.62349029703849)"
8416,16-09-102-030-0000,5414 W HURON ST,DPD Planning,Owned by City,10/3/13,0,37,25,AUSTIN,RS-3,5/8/24,41.8932289,-87.7612381,"(41.89322894479953, -87.76123806996198)"
36731,16-16-114-028-0000,5524 W VAN BUREN ST,None,Owned by City,4/15/15,0,29,25,AUSTIN,RT-4,5/16/24,41.875013,-87.7626532,"(41.87501300848818, -87.76265318583066)"
15370,17-28-328-043-0000,3048 S LOWE AVE,Park District,Sold,1/8/16,0,11,60,BRIDGEPORT,POS-2,3/14/24,41.8383453,-87.6429937,"(41.838345296361574, -87.64299365217803)"
19241,20-25-102-001-0000,1701 E 71ST ST,DPD - Real Estate,Owned by City,11/10/16,0,7,43,SOUTH SHORE,B3-2,5/8/24,41.7657886,-87.5834566,"(41.76578861903055, -87.5834566145457)"
63467,20-17-317-051-0000,1502 W 62ND ST,AIS,Owned by City,1/26/17,0,16,67,WEST ENGLEWOOD,RS-3,5/8/24,41.7815838,-87.6620601,"(41.78158382725434, -87.66206014439246)"
62996,17-19-213-037-0000,1816 W 14TH ST,DPD Open Space,Owned by City,2/6/17,0,28,28,NEAR WEST SIDE,PD 30,5/8/24,41.8634509,-87.6720402,"(41.86345092972485, -87.6720401946304)"
58482,16-12-216-001-0000,2526 W GRAND AVE,AIS,Owned by City,8/3/17,0,36,24,WEST TOWN,POS-1,3/29/24,41.891209,-87.6904059,"(41.89120895654365, -87.69040591117428)"
65641,26-06-209-021-0000,8849 S EXCHANGE AVE,None,Owned by City,11/20/17,0,10,46,SOUTH CHICAGO,RT-4,5/8/24,41.7339358,-87.5523327,"(41.73393583473958, -87.55233268330048)"
17436,20-16-220-007-0000,5751 S PERRY AVE,None,Owned by City,12/10/19,0,20,40,WASHINGTON PARK,RS-3,5/8/24,41.7894866,-87.6273756,"(41.78948660195472, -87.62737560160942)"
16075,17-33-303-001-0000,3507 S LOWE AVE,AIS,Owned by City,5/29/22,0,11,60,BRIDGEPORT,RS-3,3/26/24,41.8306461,-87.642099,"(41.83064605171723, -87.64209898457524)"
15906,19-23-200-016-0000,3515 W 63RD ST,None,Sold,7/27/25,0,14,66,CHICAGO LAWN,B3-3,3/14/24,41.7785659,-87.7110663,"(41.77856587853886, -87.71106626955915)"
35006,16-02-402-020-0000,3524 W THOMAS ST,None,Owned by City,11/21/27,0,36,23,HUMBOLDT PARK,POS-2,5/8/24,41.9010498,-87.7152175,"(41.90104981481543, -87.71521754263652)"
50664,13-26-217-058-0000,2900 N DAWSON AVE,Other,Owned by City,3/12/29,400,35,21,AVONDALE,RS-3,3/14/24,41.9343343,-87.7121703,"(41.93433429204804, -87.71217027169743)"
35510,19-13-225-035-0000,2512 W 59TH ST,DPD - Real Estate,Sold,12/31/29,0,15,63,GAGE PARK,B3-2,5/1/24,41.7867769,-87.6868571,"(41.78677690358061, -87.68685711016822)"
58483,16-11-207-025-0000,3250 W CHICAGO AVE,Park District,Leased,6/30/31,0,27,23,HUMBOLDT PARK,PD 407,3/14/24,41.895064,-87.707151,"(41.8950639815935, -87.70715096297279)"
37899,26-07-164-005-0000,10112 S COMMERCIAL AVE,None,Owned by City,3/6/33,0,10,51,SOUTH DEERING,RS-2,5/8/24,41.7114147,-87.5520261,"(41.711414735261506, -87.5520261394694)"
68387,25-28-123-001-0000,12101 S EGGLESTON AVE,None,Owned by City,11/27/34,1228,21,53,WEST PULLMAN,RS-2,3/14/24,41.6741171,-87.633019,"(41.674117095740385, -87.63301900253792)"
8042,14-32-317-007-0000,1324 W CONCORD PL,None,Sold,12/31/35,0,32,24,WEST TOWN,PD 1438,3/14/24,41.9125592,-87.6615825,"(41.91255922096491, -87.66158252423452)"
67778,17-16-241-027-0000,415 S FINANCIAL PL,CDOT,Owned by City,3/24/44,,34,32,LOOP,DC-16,3/14/24,41.87648,-87.6329563,"(41.876479996475894, -87.63295634334027)"
50965,17-06-425-011-0000,911 N WOOD ST,AIS,Owned by City,12/6/48,0,1,24,WEST TOWN,RT-4,3/14/24,41.8988948,-87.6719138,"(41.898894844662685, -87.67191380375772)"
58594,16-16-221-074-0000,510 S CICERO AVE,CDOT,Owned by City,7/29/50,0,29,25,AUSTIN,B3-2,5/8/24,41.8736654,-87.7453796,"(41.87366536451131, -87.74537958141629)"
12717,17-09-339-005-0000,666 W MADISON ST,None,Sold,8/1/50,5633,34,28,NEAR WEST SIDE,DX-7,3/14/24,41.8821763,-87.6451143,"(41.8821763033948, -87.6451143488365)"
51095,17-16-241-026-0000,415 S FINANCIAL PL,CDOT,Owned by City,2/11/51,1687,34,32,LOOP,DC-16,3/14/24,41.87648,-87.6329563,"(41.876479996475894, -87.63295634334027)"
62238,17-08-233-001-0000,911 W ERIE ST,CDOT,Owned by City,8/25/53,0,27,24,WEST TOWN,M1-2,3/14/24,41.8932263,-87.6508688,"(41.89322626873903, -87.65086879610101)"
59463,14-08-414-039-0000,4819 N BROADWAY,None,Leased,1/27/54,,46,03,UPTOWN,B3-5,3/14/24,41.9696466,-87.65929,"(41.96964655012688, -87.65929000288335)"
62591,17-08-233-007-0000,833 W ERIE ST,CDOT,Owned by City,5/31/54,0,27,24,WEST TOWN,C1-5,3/14/24,41.8932477,-87.6489125,"(41.893247671611896, -87.6489125039616)"
59464,14-08-414-040-0000,1125 W LAWRENCE AVE,None,Leased,1/10/55,,46,03,UPTOWN,B3-5,3/14/24,41.9689304,-87.6586917,"(41.96893035634277, -87.65869166576753)"
68412,25-22-101-043-0000,15 E 111TH PL,None,Owned by City,1/21/55,0,9,49,ROSELAND,B3-2,3/14/24,41.6915759,-87.6224371,"(41.69157588666915, -87.62243710542089)"
51177,14-17-221-013-0000,4545 N HAZEL ST,AIS,Owned by City,10/28/55,0,46,03,UPTOWN,B3-5,3/14/24,41.9650307,-87.6520147,"(41.965030706330985, -87.65201469522988)"
14609,20-03-201-055-0000,651 E PERSHING RD,None,Owned by City,3/14/56,0,4,38,GRAND BOULEVARD,B3-3,5/8/24,41.8235861,-87.6106838,"(41.82358612951291, -87.61068375230312)"
37979,26-05-113-031-0000,9142 S MACKINAW AVE,None,Owned by City,4/16/56,0,10,46,SOUTH CHICAGO,RM-5,5/8/24,41.7289147,-87.5432708,"(41.72891474343202, -87.54327082534373)"
59458,13-26-408-045-0000,2620 N EMMETT ST,AIS,Owned by City,5/9/57,,35,22,LOGAN SQUARE,PD 1457,3/14/24,41.9305458,-87.7081213,"(41.930545786528484, -87.7081212655632)"
51067,14-18-100-030-0000,4717 N WESTERN AVE,Revenue Lot,Owned by City,5/16/57,0,47,04,LINCOLN SQUARE,B3-2,3/14/24,41.9672509,-87.6885119,"(41.967250942539295, -87.68851191406681)"
14956,20-07-425-032-0000,5432 S WOLCOTT AVE,DPD - Large Lots,Sold,5/23/57,0,16,61,NEW CITY,RS-3,5/15/24,41.794787,-87.6722526,"(41.79478697014073, -87.6722526455075)"
7527,13-29-207-045-0000,3145 N PARKSIDE AVE,Other,Owned by City,7/30/57,0,31,19,BELMONT CRAGIN,B1-1,3/14/24,41.9379261,-87.7673255,"(41.93792606448465, -87.76732554984433)"
68106,19-17-100-025-0000,5551 S NARRAGANSETT AVE,Other,Owned by City,11/19/57,0,13,56,GARFIELD RIDGE,B3-1,3/14/24,41.7908084,-87.7813958,"(41.79080838782458, -87.78139580110233)"
51059,17-34-302-011-0000,3525 S MICHIGAN AVE,AIS,Owned by City,9/30/58,0,3,35,DOUGLAS,C1-3,3/14/24,41.8304029,-87.6228186,"(41.83040293597621, -87.62281857777786)"
51295,13-15-103-004-0000,4611 W LAWRENCE AVE,AIS,Owned by City,12/18/58,0,39,16,IRVING PARK,B3-1,3/14/24,41.9678051,-87.7433648,"(41.967805097353924, -87.7433648330208)"
51202,13-15-103-005-0000,4609 W LAWRENCE AVE,AIS,Owned by City,12/18/58,0,39,16,IRVING PARK,B3-1,3/14/24,41.9678061,-87.7432725,"(41.96780611917023, -87.74327248973066)"
51249,13-15-103-006-0000,4607 W LAWRENCE AVE,AIS,Owned by City,12/18/58,0,39,16,IRVING PARK,B3-1,3/14/24,41.9678071,-87.7431802,"(41.96780713996674, -87.74318018529824)"
51039,13-15-103-007-0000,4603 W LAWRENCE AVE,AIS,Owned by City,12/18/58,0,39,16,IRVING PARK,B3-1,3/14/24,41.9678081,-87.7430879,"(41.96780814686627, -87.74308787976643)"
51290,13-15-103-008-0000,4601 W LAWRENCE AVE,AIS,Owned by City,12/18/58,0,39,16,IRVING PARK,B3-1,3/14/24,41.9678095,-87.7429958,"(41.96780948966685, -87.74299580738189)"
68120,19-35-206-024-0000,3257 W COLUMBUS AVE,Other,Owned by City,6/23/59,0,18,70,ASHBURN,M1-1,3/14/24,41.7492629,-87.7037324,"(41.74926289722166, -87.70373243799197)"
51137,19-35-206-027-0000,3245 W COLUMBUS AVE,Other,Owned by City,6/23/59,0,18,70,ASHBURN,M1-1,3/14/24,41.7494884,-87.7034197,"(41.7494884261845, -87.70341973716204)"
62315,17-20-124-020-0000,1249 S BLUE ISLAND AVE,DPD - Real Estate,Owned by City,11/10/59,0,28,28,NEAR WEST SIDE,PD 188,5/8/24,41.8618668,-87.6582834,"(41.861866838823715, -87.6582833902874)"
38133,20-21-314-013-0000,6935 S EMERALD AVE,None,Owned by City,3/19/60,0,6,68,ENGLEWOOD,RS-3,5/8/24,41.7677786,-87.6428853,"(41.767778567180365, -87.64288530802128)"
18735,20-11-100-016-0000,4735 S COTTAGE GROVE AVE,None,Owned by City,8/24/60,0,4,39,KENWOOD,B3-3,5/8/24,41.8083927,-87.6061708,"(41.80839272279833, -87.60617076269288)"
16222,17-27-302-019-0000,2820 S WABASH AVE,None,Sold,4/17/61,4965,3,35,DOUGLAS,C2-3,3/14/24,41.8426699,-87.6257242,"(41.842669947218894, -87.62572419820509)"
58498,13-32-229-029-0000,2042 N CENTRAL AVE OP,AIS,Owned by City,4/24/61,0,29,19,BELMONT CRAGIN,PMD 15,3/14/24,41.9181166,-87.7659197,"(41.91811661851993, -87.7659197449841)"
15907,19-23-200-017-0000,3513 W 63RD ST,None,Sold,6/3/61,0,14,66,CHICAGO LAWN,B3-3,3/14/24,41.778569,-87.710883,"(41.77856898232667, -87.71088299551833)"
62061,17-33-303-027-0000,310 W 34TH ST,AIS,Owned by City,3/12/62,0,11,34,ARMOUR SQUARE,POS-1,3/14/24,41.8304883,-87.6415735,"(41.83048827663056, -87.64157348396779)"
62072,17-33-303-024-0000,925 W 34TH ST,AIS,Owned by City,3/12/62,0,11,60,BRIDGEPORT,RS-3,3/14/24,41.8324684,-87.6496507,"(41.83246838230882, -87.64965070838387)"
62079,17-33-303-025-0000,264 W 34TH ST,AIS,Owned by City,3/12/62,0,11,34,ARMOUR SQUARE,POS-1,3/14/24,41.8328253,-87.6340283,"(41.8328253322097, -87.63402832668923)"
62076,17-33-303-026-0000,264 W 34TH ST,AIS,Owned by City,3/12/62,0,11,34,ARMOUR SQUARE,POS-1,3/14/24,41.8328253,-87.6340283,"(41.8328253322097, -87.63402832668923)"
50985,17-29-307-067-0000,2628 S HILLOCK AVE,AIS,Owned by City,3/28/62,0,11,60,BRIDGEPORT,RS-3,3/14/24,41.8453028,-87.6571045,"(41.84530280691979, -87.65710448921162)"
38130,20-21-412-010-0000,6931 S HARVARD AVE,None,Owned by City,9/24/63,0,6,69,GREATER GRAND CROSSING,RT-4,5/8/24,41.7680392,-87.6332793,"(41.76803915155432, -87.63327927632183)"
66580,20-21-412-009-0000,6929 S HARVARD AVE,None,Owned by City,9/24/63,0,6,69,GREATER GRAND CROSSING,RT-4,5/8/24,41.7681079,-87.6332671,"(41.7681079236762, -87.63326706519092)"
68385,20-21-310-021-0000,503 W 69TH ST,None,Owned by City,8/28/64,0,6,68,ENGLEWOOD,B3-2,3/14/24,41.7690968,-87.6382638,"(41.7690968056687, -87.63826375827851)"
68384,20-21-310-022-0000,505 W 69TH ST,None,Owned by City,8/28/64,0,6,68,ENGLEWOOD,B3-2,3/14/24,41.7690983,-87.6381758,"(41.769098290295695, -87.63817580395647)"
21609,20-21-308-027-0000,6848 S LOWE AVE,None,Owned by City,9/8/64,0,6,68,ENGLEWOOD,RT-4,5/8/24,41.7692967,-87.6406078,"(41.76929674704821, -87.64060780069084)"
68383,20-21-310-001-0000,3803 S PARNELL AVE,None,Owned by City,9/8/64,0,11,60,BRIDGEPORT,RS-3,3/14/24,41.7706032,-87.6383054,"(41.77060323615216, -87.6383053818467)"
63258,20-21-306-037-0000,750 W 69TH ST,DPD Open Space,Owned by City,1/15/65,0,6,68,ENGLEWOOD,B3-2,5/8/24,41.7690694,-87.6434349,"(41.76906935808516, -87.6434349425095)"
63059,20-21-307-031-0000,6850 S UNION AVE,DPD Open Space,Owned by City,1/15/65,0,6,68,ENGLEWOOD,RT-4,5/8/24,41.7691684,-87.6421351,"(41.76916835237091, -87.64213511946805)"
58776,16-13-109-013-0000,2827 W MONROE ST,None,Owned by City,3/11/65,0,27,27,EAST GARFIELD PARK,RT-4,5/8/24,41.8798949,-87.6973642,"(41.87989490053104, -87.69736420548934)"
62471,20-03-201-062-0000,3923 S VINCENNES AVE,DPD - Planning,Owned by City,10/8/65,0,4,38,GRAND BOULEVARD,RM-5,5/20/24,41.8232285,-87.6123834,"(41.82322853181269, -87.61238342775809)"
14615,20-03-201-064-0000,3927 S VINCENNES AVE,None,Owned by City,10/26/65,0,4,38,GRAND BOULEVARD,RM-5,5/20/24,41.8231541,-87.6123906,"(41.82315406942061, -87.6123906089052)"
14610,20-03-201-058-0000,3907 S VINCENNES AVE,None,Owned by City,12/10/65,0,4,38,GRAND BOULEVARD,B3-3,5/8/24,41.8235221,-87.6123524,"(41.82352208661712, -87.61235241753654)"
8817,16-10-406-046-0000,4132 W LAKE ST,DPD - Business Development,Sold,1/25/66,0,28,26,WEST GARFIELD PARK,PMD 9,3/14/24,41.8860185,-87.7295764,"(41.88601850678804, -87.72957640290201)"
11164,16-12-419-025-0000,2566 W WASHINGTON BLVD,None,Sold,3/16/66,2035,27,28,NEAR WEST SIDE,M1-1,3/14/24,41.8830657,-87.6910341,"(41.88306565342733, -87.6910341179019)"
12826,17-20-103-009-0000,1237 W ROOSEVELT RD,None,Owned by City,3/18/66,0,28,28,NEAR WEST SIDE,PD 896,5/8/24,41.8667097,-87.6581261,"(41.866709654309496, -87.65812614571234)"
58502,16-12-419-005-0000,2601 W MAYPOLE AVE,None,Owned by City,5/16/66,0,27,28,NEAR WEST SIDE,M1-1,5/8/24,41.8835017,-87.6911795,"(41.883501745035026, -87.69117947794972)"
